iter	Passed	Remaining
0	137	41023
1	141	21051
2	146	14525
3	150	11111
4	153	9050
5	156	7648
6	164	6880
7	168	6146
8	172	5571
9	175	5091
10	177	4670
11	181	4346
12	183	4051
13	187	3823
14	189	3605
15	192	3408
16	195	3251
17	197	3089
18	199	2954
19	201	2824
20	204	2717
21	206	2606
22	207	2502
23	209	2413
24	211	2329
25	213	2246
26	214	2172
27	216	2100
28	217	2035
29	220	1981
30	221	1920
31	222	1866
32	223	1811
33	225	1763
34	226	1714
35	227	1671
36	229	1629
37	230	1591
38	232	1554
39	233	1518
40	235	1486
41	236	1453
42	237	1420
43	239	1390
44	240	1360
45	241	1332
46	242	1306
47	243	1279
48	244	1254
49	246	1231
50	247	1208
51	248	1186
52	250	1167
53	251	1146
54	252	1126
55	253	1106
56	254	1086
57	256	1069
58	257	1052
59	259	1036
60	260	1019
61	261	1004
62	262	988
63	264	973
64	265	959
65	266	946
66	268	932
67	269	918
68	270	904
69	271	891
70	272	879
71	274	868
72	275	856
73	276	843
74	277	831
75	278	820
76	279	809
77	280	799
78	282	789
79	283	779
80	284	769
81	285	759
82	287	750
83	287	740
84	289	731
85	290	722
86	291	713
87	293	705
88	294	698
89	295	690
90	297	682
91	298	674
92	299	666
93	300	658
94	301	651
95	303	644
96	304	637
97	305	629
98	306	622
99	307	614
100	308	607
101	309	601
102	311	594
103	312	588
104	313	581
105	314	575
106	315	569
107	316	562
108	317	556
109	318	550
110	319	544
111	320	538
112	322	533
113	323	527
114	324	521
115	325	516
116	327	511
117	328	506
118	330	502
119	331	496
120	332	491
121	333	486
122	334	481
123	335	476
124	336	471
125	337	466
126	338	461
127	339	456
128	341	452
129	342	447
130	343	443
131	345	439
132	346	434
133	347	429
134	348	425
135	349	421
136	351	417
137	352	413
138	353	409
139	354	404
140	355	400
141	356	396
142	358	393
143	359	389
144	361	386
145	363	383
146	364	379
147	366	375
148	367	372
149	368	368
150	369	364
151	370	361
152	371	357
153	373	354
154	374	350
155	375	347
156	377	343
157	378	339
158	379	336
159	380	333
160	381	329
161	382	326
162	383	322
163	385	319
164	386	316
165	387	312
166	388	309
167	390	306
168	391	303
169	393	300
170	394	297
171	395	294
172	396	291
173	397	288
174	399	285
175	400	282
176	401	279
177	402	276
178	403	273
179	405	270
180	406	267
181	407	264
182	409	261
183	410	258
184	411	255
185	413	253
186	414	250
187	415	247
188	417	245
189	419	242
190	420	240
191	422	237
192	423	234
193	425	232
194	426	229
195	427	227
196	429	224
197	430	221
198	431	219
199	433	216
200	434	214
201	436	211
202	437	209
203	438	206
204	440	204
205	441	201
206	442	198
207	444	196
208	445	193
209	446	191
210	448	189
211	449	186
212	451	184
213	452	182
214	454	179
215	455	177
216	456	174
217	458	172
218	459	169
219	460	167
220	461	165
221	463	162
222	464	160
223	465	158
224	467	155
225	468	153
226	469	151
227	470	148
228	472	146
229	473	144
230	474	141
231	475	139
232	477	137
233	478	134
234	479	132
235	480	130
236	481	128
237	483	125
238	484	123
239	485	121
240	486	119
241	487	116
242	488	114
243	490	112
244	491	110
245	492	108
246	493	105
247	495	103
248	496	101
249	497	99
250	499	97
251	500	95
252	502	93
253	503	91
254	504	89
255	505	86
256	506	84
257	508	82
258	509	80
259	510	78
260	511	76
261	513	74
262	514	72
263	515	70
264	516	68
265	518	66
266	519	64
267	520	62
268	521	60
269	522	58
270	524	56
271	525	54
272	526	52
273	527	50
274	529	48
275	530	46
276	531	44
277	532	42
278	533	40
279	535	38
280	536	36
281	537	34
282	538	32
283	539	30
284	541	28
285	542	26
286	543	24
287	544	22
288	545	20
289	547	18
290	548	16
291	549	15
292	550	13
293	551	11
294	553	9
295	554	7
296	555	5
297	556	3
298	557	1
299	558	0
